"","cluster","Mean.of.log.T0","Mean.of.log.T1","Mean.of.log.T2","Mean.of.log.T3","Mean.of.log.T4","Mean.of.log.T5","Mean.of.log.T6","Mean.of.log.T7","Mean.of.log.T8","Mean.of.log.T9","Mean.of.log.T10","Mean.of.log.T11","isClusterMember","maxMembership","membership.of.cluster.1","membership.of.cluster.2","membership.of.cluster.3","membership.of.cluster.4"
"ENSG00000187260",3,-0.540761420294604,0.665585173596937,0.345663344584296,-2.3756963564155,-0.701866322260474,0.262652508458703,0.61999670660324,-0.0881815670627309,-0.790381179932534,1.37248206098919,0.239820883219183,0.990686168514288,FALSE,0.275942729082795,0.179102314150832,0.27404813661739,0.275942729082795,0.270906820148983
"ENSG00000109787",2,1.50091111555893,0.220358927121189,-1.63959778073023,-0.802930759384744,1.09247028549246,-0.363519602063621,0.463279888789193,0.390720454163018,1.21592836419736,-0.165501720799786,-1.36765893869323,-0.544460233650546,FALSE,0.280719168286655,0.180755203430687,0.280719168286655,0.274695743231601,0.263829885051057
"ENSG00000084731",2,-0.546657840451856,-1.84487833879781,0.336147982725865,-1.01725853937114,0.23549414206934,2.17693474556768,0.482528048575652,0.433942048352072,-0.682032042244354,-0.0422414565314391,0.656895555808791,-0.188874305702799,FALSE,0.286935451568152,0.167835411056378,0.286935451568152,0.275534514130639,0.269694623244831
"ENSG00000165973",4,-0.637668114656101,-0.650038959502819,1.82266409368616,-0.785937918683269,0.20816860810309,-0.821714075636405,0.64776033798872,-0.617915321359983,-0.975594539333542,-0.512159738050942,1.79372038313639,0.5287152443087,FALSE,0.287661508703353,0.158878000192383,0.276270461315276,0.277190029788988,0.287661508703353
"ENSG00000170948",4,-1.02780088333953,-0.56365026476706,-0.101247580527599,-1.86673378693835,-0.302845402253029,1.24945748084634,0.408284156906109,-0.147937068360671,-0.215882045305415,1.36451508445632,-0.30813883739397,1.51197914667686,FALSE,0.291958543904763,0.194393955991611,0.245190924239397,0.268456575864229,0.291958543904763
"ENSG00000178177",4,0.559649091892385,-2.00736390087666,-1.19252424954074,-0.763558946965457,0.0868875636640421,1.49002889180262,0.473314636288264,0.301776661496735,1.19478044467854,0.620604952656392,-0.432422051002965,-0.331173094093144,FALSE,0.293134435959182,0.219535232039451,0.204104772808885,0.283225559192482,0.293134435959182
"ENSG00000100243",2,1.41582178907853,0.170720026642055,-1.01761182758397,-0.872877850310837,1.33655671361157,-1.78008335854498,0.643722650861117,0.28923362369804,1.07036218678953,-0.44623350081822,-0.551781614588095,-0.257828838834749,FALSE,0.29457933737093,0.165884123696533,0.29457933737093,0.280357834917476,0.259178704015061
"ENSG00000273633",4,1.77491643710966,0.894190233195898,-1.37896452011171,0.386176469277876,0.0805544279013147,0.793252767589264,0.471037836348892,0.560971789417367,-0.298714466188157,-0.794938199971372,-1.17465417473776,-1.31382859983128,FALSE,0.297116053462436,0.195305808061973,0.21151457693567,0.296063561539921,0.297116053462436
"ENSG00000080815",4,1.06073901397558,-2.50212759464413,-1.12413789068474,-0.527701520532534,0.0725079583561924,0.976315289501257,0.689421592486196,0.195481530872269,0.674686654695637,0.257314344969252,-0.0487000238115866,0.276200644816608,FALSE,0.29732821434602,0.218262825153806,0.192023535935303,0.29238542456487,0.29732821434602
"ENSG00000111057",4,-0.206629745585021,-0.320001418459573,-1.64248862980355,-0.31677393950559,1.5574078858363,1.06968105326751,-0.257913215008362,0.389586430854891,1.26604042251144,-0.00840492699967177,-1.62971850102413,0.0992145839157518,FALSE,0.299132050867336,0.17303617200121,0.295580725408174,0.23225105172328,0.299132050867336
"ENSG00000177542",4,0.904560306529895,-0.660350328998104,-0.989733876949336,-1.4600853548028,-0.898413335088581,1.35881829880766,0.0988062414320309,-0.683090807276061,-0.416786323449733,0.897510441001842,0.285565130525892,1.56319960826729,FALSE,0.30216881384607,0.17569133285076,0.294353572176716,0.227786281126455,0.30216881384607
"ENSG00000158458",3,1.55952545641108,-0.0228106725099586,0.152114863090743,-0.484087414428685,0.538754895320124,0.417604044537561,0.499333447424466,0.689644262752505,0.267075375289789,0.127639087658677,-1.77010347083421,-1.97468987471209,FALSE,0.30376492025817,0.203705895440771,0.20805610811411,0.30376492025817,0.284473076186949
"ENSG00000145147",3,0.251546024697135,-0.00456641736217111,1.31591256702422,0.657127981103027,-0.307807578104596,-0.472406629459095,0.852653635370928,-0.475495189125189,-0.679034699003005,-2.20841413464513,1.42717373955664,-0.356689300052764,FALSE,0.304459675529991,0.146451451383683,0.263675241839344,0.304459675529991,0.285413631246982
"ENSG00000115290",4,-1.3697471934191,-0.206374528578448,2.16901733370451,-0.836674527047306,-0.39961329714394,-0.277282284672996,0.186166746571533,0.025765038592575,-0.347220359277255,-0.061486142879317,1.71110359807543,-0.593654383925684,FALSE,0.304907709958829,0.144160458232258,0.293777297513717,0.257154534295195,0.304907709958829
"ENSG00000107831",4,-1.23322459415426,-0.0705783947947596,2.15881228795898,-0.321522583727897,-0.575821188949154,1.1292447278835,0.375292010496922,-0.246233032578686,-1.01540630521711,-0.620076815865884,1.04598324570518,-0.626469356756828,FALSE,0.308090536488976,0.138334482311604,0.269268240073351,0.28430674112607,0.308090536488976
"ENSG00000182168",4,-0.50093480290069,-0.703357221931666,2.05561997755169,-0.533956475823472,0.713259594756549,-0.872559039646301,0.347351354316911,-0.377260573216182,-0.594375775952928,-0.291508214553861,1.69894820080264,-0.94122702340269,FALSE,0.308967539972027,0.157732934809586,0.260228720428712,0.273070804789676,0.308967539972027
"ENSG00000120049",4,1.40745203636821,0.261766730277961,1.38479634895885,-0.762367946648783,-0.0421740752443365,-1.17746540116854,-0.0235650858821036,-0.668514461472882,-1.38381599786218,0.0130428883781276,1.54661635187906,-0.555771387583381,FALSE,0.309192016709669,0.160259025965196,0.300802930392731,0.229746026932403,0.309192016709669
"ENSG00000091138",4,-0.317071080914541,0.540776804235603,-0.957573275456077,-1.54031445475775,-0.35265509816041,0.226733254870676,0.758593128044206,-0.252241837542295,0.0832894717728588,2.21961856199958,-1.06634926034219,0.657193786250337,FALSE,0.30990541899181,0.27115989011414,0.110581584005732,0.308353106888318,0.30990541899181
"ENSG00000128283",4,0.790941099731929,0.0178043769026326,-1.84216810585461,-0.385832278640727,0.504623594062897,-0.125341990474721,0.82020309029483,-1.29293252475501,0.54208290930819,0.176383303035423,-0.940138502391245,1.73437502878041,FALSE,0.310072466143048,0.217510755073478,0.171820819363214,0.30059595942026,0.310072466143048
"ENSG00000134259",2,-1.01505115919331,-0.558672136456694,2.31474957308864,-0.317280832104734,-0.531105223833795,-0.276397525185827,-0.101794729103355,-0.171946993870598,-0.197060518996844,-0.510294456515654,1.81595712534939,-0.451103123177219,FALSE,0.310075157305138,0.148450483766804,0.310075157305138,0.232984182395269,0.308490176532789
"ENSG00000138684",4,0.844124649189794,-0.303539478462844,-1.59476971549997,0.247326310951764,-0.258177437773632,2.15830206021263,0.374584153105267,-0.352233062065776,0.420697631170212,-0.473719456139358,-1.43562089990672,0.373025245218636,FALSE,0.310451642807565,0.198904666980287,0.210804227787387,0.27983946242476,0.310451642807565
"ENSG00000115758",4,1.30522235300064,2.02420102772875,-1.39443466849779,-0.334944682877701,0.771531361141866,0.0875813183063612,-0.403133753288605,-0.706584733998971,0.286822468416511,0.119024401023255,-1.22456622129026,-0.530718869664073,FALSE,0.311587180666074,0.172082544830295,0.295744011154065,0.220586263349565,0.311587180666074
"ENSG00000091831",3,-0.120990487995885,-0.821864065191419,1.45794795422868,0.468797401902722,0.0692521976630534,0.417175604339193,0.565383972813052,0.151724443127944,-0.339779074630434,-0.942275438220614,1.28366398622911,-2.1890364942654,FALSE,0.312121472167459,0.177918939902557,0.199401945613052,0.312121472167459,0.310557642316932
"ENSG00000156395",4,0.00932909303683775,-1.3660055427093,1.4975999494378,-0.708504520309661,0.232808300226491,-1.22131350052201,0.607328202740813,-0.579804629697234,-0.859785842232049,-0.147844843746116,1.55191186231807,0.984281471456369,FALSE,0.312998553347398,0.172704422683525,0.238573424283012,0.275723599686065,0.312998553347398
