"","cluster","Mean.of.log.A","Mean.of.log.B","Mean.of.log.C","Mean.of.log.D","isClusterMember","maxMembership","membership.of.cluster.1","membership.of.cluster.2","membership.of.cluster.3"
"Q9WTT7",1,-1.22255561673122,0.776823490992555,0.856334477189782,-0.410602351451118,FALSE,0.34260450468341,0.34260450468341,0.318762404645638,0.338633090670951
"P63102",3,-1.09658973936807,0.830429584823418,0.865356334646909,-0.599196180102253,FALSE,0.344859858879407,0.31869953418252,0.336440606938073,0.344859858879407
"Q7M0E3",1,-0.237751535202779,-1.30795600637204,0.634796914993558,0.910910626581266,FALSE,0.346160098454508,0.346160098454508,0.344381731821608,0.309458169723884
"P62959",3,-1.11147501524251,0.921737797086268,0.764578478326509,-0.57484126017027,FALSE,0.350368259986828,0.32639264630308,0.323239093710093,0.350368259986828
"P05765",3,-1.07423589883272,0.941039458988321,0.756377650063607,-0.623181210219205,FALSE,0.352624878017761,0.320499955253565,0.326875166728674,0.352624878017761
"P02564",1,-1.29124213047911,0.407225819378061,1.06495216321144,-0.180935852110383,FALSE,0.352648206536996,0.352648206536996,0.327685217460473,0.31966657600253
"P70567",1,-1.17907291834308,1.1033623798076,0.479167216325917,-0.403456677790437,FALSE,0.358312648020502,0.358312648020502,0.283389539481863,0.358297812497636
"P11960",2,0.768286653302108,-1.37327190516234,-0.110336827576684,0.715322079436916,FALSE,0.360512889514086,0.285717634535876,0.360512889514086,0.353769475950037
"P18422",3,0.587017403091773,-1.26481732298012,-0.303727981502697,0.981527901391041,FALSE,0.360514683588719,0.324707379401054,0.314777937010227,0.360514683588719
"P62859",3,-1.11086660411474,1.10454447503702,0.52562489384656,-0.519302764768848,FALSE,0.362377179411943,0.341071928724511,0.296550891863546,0.362377179411943
"P15865",2,0.845317841399481,-1.3509015407395,-0.155065561516922,0.660649260856937,FALSE,0.363773865650744,0.278772093705035,0.363773865650744,0.357454040644221
"O35244",3,-0.942600836699279,1.07903247663846,0.616578229663232,-0.753009869602413,FALSE,0.366520123548156,0.307621600122646,0.325858276329198,0.366520123548156
"Q641Y2",3,-0.658721981942087,1.04056760490572,0.648839467451583,-1.03068509041521,FALSE,0.368639537077896,0.269390325280032,0.361970137642072,0.368639537077896
"Q00715",1,-0.975486617619047,-0.704959089890594,1.10433424359156,0.57611146391808,FALSE,0.368965684440659,0.368965684440659,0.335298018284061,0.29573629727528
"Q5M9I5",1,-0.398721199682967,-1.20991980266353,0.600295332589979,1.00834566975651,FALSE,0.372426929576638,0.372426929576638,0.321092343876447,0.306480726546914
"P09456",1,-1.34882690856007,0.633020500223665,0.869646113221733,-0.15383970488533,FALSE,0.372955870446319,0.372955870446319,0.300886002068004,0.326158127485676
"Q4V8H8",2,-0.990376331329471,-0.511646859134656,1.31196408053452,0.19005910992961,FALSE,0.373124313573177,0.330102323724905,0.373124313573177,0.296773362701918
"P29410",1,0.283514062509728,-1.12256801478956,-0.389007210246928,1.22806116252676,FALSE,0.376739567179434,0.376739567179434,0.274100906001181,0.349159526819385
"P10111",1,-1.36070277118647,0.662923511492294,0.831368872284789,-0.133589612590614,FALSE,0.378287347192293,0.378287347192293,0.29523847906102,0.326474173746686
"P18421",3,-0.440627912416783,1.08405540743566,0.521989827727627,-1.1654173227465,FALSE,0.37886913190685,0.251825811512402,0.369305056580748,0.37886913190685
"P31044",3,0.518125805339752,-0.885899999569846,-0.785416238181077,1.15319043241117,FALSE,0.37932708223682,0.364627728923026,0.256045188840155,0.37932708223682
