"","Mean of log A","Mean of log B","Mean of log C","Mean of log D","Sds","qvalue BvsA","qvalue CvsA","qvalue DvsA"
"A0JPQ4",-0.0584640145151373,0.279343355712768,0.0611012801504302,-0.0284327133929146,0.194093760369896,0.231708749531868,0.968338925911827,0.571462185649499
"A1A5Q0",-0.093396819830051,0.087823863248159,0.006466789316186,0.202675198944195,0.248420964875485,0.465407741347984,0.977167816460095,0.23625571228159
"A2RRU1",0.10921105588851,-0.0982947340169602,-0.0535184054187076,-0.0310827191800798,0.149335955875028,0.380155988210441,0.968338925911827,0.362299222928773
"A2VD12",0.0335587192494114,-0.0336973070412727,-0.0388116932067597,0.112019142174564,0.16396253659079,0.574642153463539,0.97907999674198,0.495245604029806
"A7VJC2",0.0178665323404056,-0.124852989930717,0.0794868140283187,0.0824551900391646,0.225770098286807,0.491197276125284,0.97907999674198,0.528716241092433
"B0BNE5",0.0751801527670327,-0.186399111470377,0.145681342241459,-0.0666271333304151,0.167185649880317,0.286077056763064,0.977167816460095,0.330996405002072
"B0BNN3",0.148411678732406,-0.479427036679414,0.49581696856496,-0.243324027705082,0.459214924062035,0.331761455946434,0.968338925911827,0.330996405002072
"B0K020",-0.0268400716585397,0.0800173889753115,0.0396637441879417,0.492365497458791,0.431991405126776,0.598953100989177,0.986903499063367,0.232854558428756
"B0LPN4",0.104186987471601,0.0395166294731077,0.0460622170301731,-0.00306445490657767,0.135864246318709,0.528900481504943,0.977167816460095,0.349591651667807
"B1PRL5",-0.0533688060896668,0.0264858870685595,-0.07126285672908,-0.0100081266175088,0.129681779569138,0.491197276125284,0.991288661241918,0.511929289345117
"B2GV06",-0.258845300460936,-0.114267866544982,0.117142318532443,0.171172873197972,0.202828696641635,0.470670482766689,0.842425843791675,0.0903361069815639
"B2GV54",-0.213190763592191,0.0702377241174018,0.0263035645128417,0.294646904659281,0.318350656603244,0.470670482766689,0.968338925911827,0.219528278184502
"B2RYW9",0.0880044884935739,-0.0594176159608398,-0.107489308582165,-0.0790673567223461,0.139068141005304,0.385491475114705,0.964582215008531,0.232854558428756
"B2RZ37",-0.158799439881556,0.0396354151905009,-0.168414995425061,-0.040795593817101,0.250847448795153,0.442373734730627,0.997515780258928,0.469882840047095
"B4F7A1",-0.147155915588493,0.0904013850092671,-0.173927074718814,0.148581025412328,0.307188670960769,0.491197276125284,0.997515780258928,0.353123228060958
"D3Z9R8",-0.0689838726425953,0.15492750056114,-0.0287460957618842,0.196187560687582,0.17931509826039,0.348490178173767,0.97907999674198,0.172008671710078
"D3ZAF6",-0.523873516692442,0.0354692185789597,-0.568535490036078,0.186920885761678,0.424364760996026,0.334143080504392,0.997515780258928,0.135888041653732
"O08557",0.142185770704641,0.00198480797078145,0.31285626176405,-0.225535824754232,0.213568073282746,0.515756925576719,0.968338925911827,0.204750993509785
"O08730",0.206100247087657,0.0572494223128282,-0.0364163847846283,-0.0978409620359757,0.133414729385133,0.373239504564445,0.842425843791675,0.0775841283348681
"O35077",-0.20351931450112,-0.0157575549862678,-0.14841214161814,0.316156597210019,0.332038165969543,0.50295611709241,0.981946303808589,0.157678050009307
"O35094",-0.133165860548899,0.111350360500223,-0.0973109254608017,-0.145154544901747,0.297982263109474,0.43913100398949,0.993447009228767,0.607766865378418
"O35115",0.00985602089850286,-0.107411919170298,0.123029499938525,-0.321736658932138,0.26734700802288,0.543824824173679,0.977167816460095,0.222866448695472
"O35244",-0.041480821053396,0.102604857395794,0.0696448574356016,-0.0279683096885686,0.171405219559239,0.43800132870855,0.968338925911827,0.597488448600923
"O35264",0.0371278863865598,-0.0409477353006209,0.0701498740816748,-0.0570900322648837,0.162568394342546,0.55956699937913,0.981946303808589,0.470670198860173
"O35303",-0.3579283896162,0.0560232154485946,-0.0198671139800295,0.290499315041856,0.382677373249378,0.431934933122575,0.968338925911827,0.207504018480541
"O35413",-0.144779525575824,0.10215492332072,-0.169967169078821,0.110938912407411,0.256440482670579,0.412717579817069,0.997515780258928,0.290163973140855
"O35567",0.00117533000759082,-0.0373360869650073,-0.00125789686374077,0.0540796982140028,0.125259012932442,0.584084163814706,0.997515780258928,0.488364212532535
"O35763",4.99046300646659e-05,-0.03696129051811,-0.0940311609048468,-0.208830789734984,0.234044045101856,0.603797425254227,0.977167816460095,0.319564798821807
"O35854",0.13215891119369,-0.344257671585134,0.1430429174591,0.0729037616108256,0.15362425378293,0.0458007226088369,0.997515780258928,0.495245604029806
"O35878",-0.316235429545496,-0.0330440398304447,0.0702523446552643,0.182836660196641,0.293310786660358,0.412717579817069,0.968338925911827,0.133190123486125
"O35987",0.585962210474773,-0.202766386428507,-0.381204441088125,0.209875002054447,0.356901870301631,0.244535661251982,0.842425843791675,0.335222058481737
"O55171",-0.702598731017552,0.620003669493334,-0.619278901178445,0.956078893202644,0.361101275506804,0.0270684870806848,0.97907999674198,0.0102251601027621
"O70351",-0.16931971678353,0.472350828112864,0.044902169368997,0.571024583905128,0.440728268880905,0.317311845820286,0.977167816460095,0.135888041653732
"O88600",0.148332109974765,-0.0386719029610256,-0.0215022427781558,-0.141003149965111,0.147406850664548,0.344123089059455,0.968338925911827,0.107694822654271
"O88761",-0.118052272883973,0.0515695557064095,-0.0560421283283102,0.0586933775947052,0.176758853917762,0.452273586923539,0.97907999674198,0.348469925767852
"O88767",0.12264455520386,0.107423953811226,-0.133462655337122,0.0961273957567149,0.167313823314453,0.613791529040404,0.887091995485099,0.571462185649499
"O88989",0.129459940105901,-0.0074051998576334,-0.0062353404206525,0.060250610319428,0.170863997810488,0.442373734730627,0.968338925911827,0.492519434612227
"O89049",-0.722480272008595,0.307335985573696,-0.712090786619745,1.03758333848944,0.436150842301886,0.218637688289448,0.997515780258928,0.0502526909037085
"P00388",0.13684018566208,0.0509670296701898,-0.460389935691536,0.199823874975901,0.207284412559566,0.574599841953287,0.842425843791675,0.5419434858445
"P00406",-0.23188511637604,0.175063121642101,0.100336750405417,0.152949770585778,0.252325713192846,0.273529248393806,0.968338925911827,0.165406367786808
"P00507",-0.175789450962338,0.0436787148244767,-0.0763228862760414,0.277074113648643,0.191406432782403,0.359728951142889,0.975230280804772,0.0753230075868248
"P00564",0.139539905029137,0.0518621031311107,-0.00382424284805374,0.329799100527607,0.292325695888516,0.58654143448667,0.977167816460095,0.394149583315423
"P01026",0.286855124312497,-0.905659636772354,0.904453837651664,-0.525401675866726,0.378577304746793,0.043133991257971,0.887091995485099,0.0889240901555299
"P01048",-0.196321560690724,-0.907738159524693,0.942314777804563,0.095701915430845,0.573257552767294,0.412717579817069,0.887091995485099,0.492519434612227
"P01835",0.107547030671863,-0.105535777744563,-0.411262235397326,0.0809839074940406,0.650356550002756,0.574642153463539,0.968338925911827,0.607766865378418
"P01836",1.09887219400446,-2.26251924841685,2.51424386599533,-1.8743392202988,0.712102175656186,0.0422538995062641,0.887091995485099,0.0470874248717287
"P01946",0.365717934844168,-0.520271389997687,0.646528931721236,-0.233152504805263,0.375750836692918,0.118806516910103,0.968338925911827,0.152203243106971
"P02091",0.126635266790525,-0.783130964193634,0.378471329088835,0.0961746787858793,0.646512692122563,0.331761455946434,0.978399290082421,0.607766865378418
"P02262",0.634403718021837,-0.448038363602176,-0.272262963222741,1.00443083680812,0.702763329733184,0.349827722510423,0.968338925911827,0.488364212532535
"P02401",-0.281624336528224,0.0288396853602522,0.0462908474194898,0.255919492168691,0.2539476696903,0.349827722510423,0.968338925911827,0.0903361069815639
